Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IIH
Hog-Monkey,B,C,364913,8.09,39885,11.75,31901,12.30%,51.90%,5520,50.50%,7965,53.10%,13485,52.00%,18440,51.80%,0.2pp
"Joo Dee, One of Many",B,U,86688,4.44,18834,5.47,101983,82.20%,54.70%,18305,55.60%,26359,55.60%,44664,55.60%,57308,54.00%,1.6pp
"June, Bounty Hunter",B,U,86513,4.41,18678,5.49,101738,83.00%,54.50%,18182,53.00%,26928,55.60%,45110,54.60%,56770,54.50%,0.1pp
"Koh, the Face Stealer",B,M,7455,1.84,4331,1.89,37040,89.60%,58.20%,6378,61.80%,10342,65.80%,16720,64.30%,20358,53.10%,11.1pp
"Lo and Li, Twin Tutors",B,U,126516,6.61,17693,9.28,31135,26.90%,54.70%,5274,52.90%,8321,56.30%,13595,55.00%,17508,54.40%,0.6pp
"Mai, Scornful Striker",B,R,31181,3.61,6106,4.52,28917,68.60%,53.30%,5231,53.90%,7223,53.90%,12454,53.90%,16369,52.80%,1.1pp
Merchant of Many Hats,B,C,335477,6.71,46191,9.42,168155,55.60%,54.70%,29881,54.70%,43434,54.60%,73315,54.60%,94804,54.70%,-0.1pp
Northern Air Temple,B,U,132400,7.31,17136,10.34,15630,14.20%,48.50%,2602,46.00%,4384,55.50%,6986,52.00%,7585,43.60%,8.4pp
Obsessive Pursuit,B,R,18332,2.43,7942,2.59,57583,88.10%,55.50%,10419,59.50%,15384,58.50%,25803,58.90%,31770,52.80%,6.1pp
Ozai's Cruelty,B,U,115168,5.94,15698,8.45,46801,45.40%,55.20%,8142,55.30%,12456,57.10%,20598,56.40%,25824,54.00%,2.3pp
Phoenix Fleet Airship,B,M,8614,2.16,4248,2.24,34031,86.60%,56.40%,5806,61.60%,9506,62.30%,15312,62.00%,18730,51.80%,10.2pp
Pirate Peddlers,B,C,332320,6.77,38417,9.9,105768,42.80%,51.80%,18391,50.10%,27807,52.70%,46198,51.70%,59680,51.90%,-0.2pp
Raven Eagle,B,R,14993,2.06,8478,2.17,67316,91.10%,57.50%,11837,60.60%,18647,64.00%,30484,62.70%,37010,53.20%,9.4pp
The Rise of Sozin,B,M,6619,1.7,4321,1.72,38721,90.60%,59.50%,6691,66.10%,11257,68.20%,17948,67.40%,20853,52.80%,14.6pp
Ruinous Waterbending,B,U,129531,6.99,15138,10.26,16498,17.00%,51.30%,2798,48.90%,4399,52.60%,7197,51.20%,9184,51.40%,-0.2pp
Sold Out,B,C,226467,4.31,51329,5.44,292177,85.80%,55.40%,49165,53.40%,78970,59.00%,128135,56.90%,163774,54.20%,2.6pp
Swampsnare Trap,B,C,282525,5.38,42440,7.38,187874,67.80%,53.90%,32333,51.80%,50091,56.10%,82424,54.40%,105347,53.50%,0.9pp
Tundra Tank,B,U,132570,7.11,16899,10.16,21825,19.80%,54.00%,3630,53.60%,5569,54.10%,9199,53.90%,12660,54.10%,-0.2pp
Wolfbat,B,U,121529,6.28,16635,8.8,49148,45.10%,53.80%,8639,51.80%,13348,55.50%,21987,54.10%,27226,53.50%,0.6pp
Zuko's Conviction,B,U,116049,5.92,16264,8.3,50788,48.00%,53.10%,8390,47.90%,13639,55.10%,22029,52.30%,28781,53.60%,-1.3pp
Boar-q-pine,R,C,351492,7.5,37368,11.02,60402,24.90%,52.30%,10428,51.60%,15792,51.60%,26220,51.60%,34183,52.80%,-1.2pp
Bumi Bash,R,C,324024,6.28,40736,9.09,122312,46.20%,52.60%,20461,49.50%,31265,53.90%,51726,52.20%,70501,52.90%,-0.7pp
The Cave of Two Lovers,R,U,78420,4.03,22752,4.69,127152,79.50%,57.90%,21878,60.50%,32252,59.50%,54130,59.90%,72464,56.40%,3.5pp
Combustion Man,R,U,94435,4.89,12652,6.73,49174,59.80%,52.40%,8141,51.20%,12441,53.70%,20582,52.70%,28786,52.10%,0.6pp
Combustion Technique,R,U,60987,3.23,21198,3.7,134072,88.70%,56.60%,23478,57.20%,35040,59.60%,58518,58.60%,73983,54.70%,3.9pp
Crescent Island Temple,R,U,123300,6.79,17105,9.29,21571,19.20%,50.00%,3582,48.70%,6150,57.50%,9732,54.30%,9964,43.70%,10.6pp
Cunning Maneuver,R,C,354448,7.4,44455,10.54,91862,31.20%,54.80%,15284,52.60%,22142,55.30%,37426,54.20%,54412,55.10%,-0.9pp
Deserter's Disciple,R,C,350585,7.14,48603,9.91,148631,46.60%,55.10%,26679,54.60%,34500,53.20%,61179,53.80%,87259,55.90%,-2.1pp
Fated Firepower,R,M,18361,3.71,4554,4.4,21540,62.70%,55.80%,3591,56.30%,5454,58.40%,9045,57.50%,12516,54.60%,3.0pp
Fire Nation Attacks,R,U,106133,5.37,19094,6.96,76664,60.80%,55.10%,12825,53.70%,19159,55.90%,31984,55.00%,44658,55.10%,-0.1pp
Fire Nation Cadets,R,C,309113,6.11,54735,7.92,230971,63.20%,56.40%,41567,59.30%,56904,54.40%,98471,56.50%,132281,56.30%,0.2pp
Fire Nation Raider,R,C,366696,8.08,42637,11.52,43809,15.60%,52.20%,7301,50.10%,10723,50.70%,18024,50.40%,25793,53.40%,-2.9pp
Fire Sages,R,U,77024,3.96,18324,4.87,105379,84.90%,55.70%,18921,57.70%,25672,54.40%,44593,55.80%,60822,55.60%,0.3pp
Firebender Ascension,R,R,28771,3.4,6353,4.09,33969,73.50%,53.70%,6161,54.20%,7918,51.40%,14079,52.60%,19886,54.60%,-1.9pp
Firebending Lesson,R,C,166284,3.35,57314,3.88,360757,89.70%,56.40%,63247,57.70%,92897,58.60%,156144,58.20%,201122,54.90%,3.3pp
Firebending Student,R,R,30452,3.5,6120,4.35,30923,71.40%,52.70%,5659,52.90%,7413,50.90%,13072,51.80%,17838,53.30%,-1.6pp
How to Start a Riot,R,C,356295,7.55,44585,10.76,90551,31.00%,53.80%,15037,49.90%,21655,53.80%,36692,52.20%,53544,54.80%,-2.6pp
Iroh's Demonstration,R,U,51547,2.84,20275,3.2,133138,90.20%,56.70%,23234,57.60%,34353,59.70%,57587,58.80%,74237,54.80%,4.1pp
"Jeong Jeong, the Deserter",R,U,89539,4.46,15399,5.87,73322,73.10%,53.40%,12618,52.20%,18582,52.50%,31200,52.40%,42080,54.10%,-1.8pp
Jet's Brainwashing,R,U,132035,7.03,15476,10.3,18119,18.00%,53.20%,2994,49.20%,4292,55.90%,7286,53.10%,10836,53.30%,-0.1pp
The Last Agni Kai,R,R,36876,4.06,5556,5.47,18985,51.20%,51.00%,3195,47.40%,4648,50.70%,7843,49.40%,11149,52.20%,-2.9pp
The Legend of Roku,R,M,6430,1.64,4251,1.66,37522,91.30%,58.00%,6608,63.00%,9964,63.10%,16572,63.00%,20921,54.00%,9.0pp
Lightning Strike,R,C,174915,3.45,49410,4.18,300005,88.80%,55.80%,52576,55.70%,76040,58.20%,128616,57.20%,170946,54.70%,2.5pp
"Mai, Jaded Edge",R,U,91983,4.64,15915,6.06,77700,74.50%,54.10%,14201,54.10%,18897,52.40%,33098,53.10%,44586,54.70%,-1.6pp
Mongoose Lizard,R,C,363299,7.7,40864,11.21,55176,20.60%,53.50%,9685,50.90%,13779,54.00%,23464,52.70%,31798,53.90%,-1.2pp
Price of Freedom,R,U,138204,7.63,15452,11.25,8309,8.20%,50.20%,1460,46.50%,2113,50.00%,3573,48.60%,4697,51.60%,-3.0pp
Ran and Shaw,R,R,14284,2,7363,2.1,57498,87.70%,55.90%,9838,54.70%,16100,60.50%,25938,58.30%,31271,53.70%,4.6pp
Redirect Lightning,R,R,40502,4.27,5885,5.97,21014,53.60%,51.40%,3485,48.40%,5335,51.90%,8820,50.50%,12063,52.00%,-1.5pp
Rough Rhino Cavalry,R,C,364544,7.99,39106,11.66,32989,12.90%,52.50%,5377,50.70%,8132,51.40%,13509,51.10%,19614,53.30%,-2.1pp
Solstice Revelations,R,U,132278,7.18,15231,10.49,17883,18.00%,52.20%,3068,49.80%,4433,52.00%,7501,51.10%,10305,52.90%,-1.8pp
Sozin's Comet,R,M,31505,5.58,4144,8.48,1492,5.50%,48.70%,236,,366,,602,43.00%,888,52.40%,-9.3pp
Tiger-Dillo,R,U,130411,7.03,17240,9.77,32133,28.00%,55.00%,5707,58.40%,7483,53.90%,13190,55.80%,18902,54.40%,1.4pp
Treetop Freedom Fighters,R,C,332486,6.58,45562,9.19,159894,53.50%,54.90%,27813,54.10%,37305,54.50%,65118,54.40%,94437,55.30%,-0.9pp
Twin Blades,R,U,107599,5.43,17340,7.33,67924,58.70%,55.70%,11301,54.40%,16550,57.60%,27851,56.30%,39965,55.20%,1.1pp
"Ty Lee, Artful Acrobat",R,U,98109,4.93,15622,6.55,71305,69.70%,54.40%,12200,54.00%,17573,53.60%,29773,53.80%,41580,54.70%,-1.0pp
War Balloon,R,U,114630,5.78,16199,8.09,52151,49.10%,54.00%,8919,53.10%,12746,54.10%,21665,53.70%,30597,54.20%,-0.5pp
Wartime Protestors,R,R,15653,2.22,7399,2.33,57052,88.40%,56.40%,9766,59.80%,14376,58.60%,24142,59.10%,32963,54.20%,4.9pp
Yuyan Archers,R,C,316205,6.05,56850,7.92,273001,71.80%,56.70%,49919,57.80%,66792,55.80%,116711,56.70%,155966,56.70%,-0.0pp
