"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Champion of the Weird","B","R","17899","2.95","5448","3.33","32309","71.0%","55.0%","5422","60.1%","8120","59.1%","13542","59.5%","17886","50.7%","8.8pp"
"Creakwood Safewright","B","U","63694","3.70","17767","4.35","98473","82.8%","56.3%","17757","57.3%","23369","57.1%","41126","57.2%","55664","55.3%","2.0pp"
"Darkness Descends","B","U","112970","6.36","12602","9.55","13125","16.7%","48.8%","2205","45.9%","3346","51.1%","5551","49.1%","7581","48.6%","0.5pp"
"Dawnhand Dissident","B","R","14241","2.35","6533","2.53","45771","86.1%","55.5%","8530","59.6%","11229","58.4%","19759","58.9%","25447","52.7%","6.2pp"
"Dawnhand Eulogist","B","C","255011","5.56","49724","7.07","235837","72.7%","57.0%","39922","56.3%","56642","59.0%","96564","57.9%","134450","56.0%","1.9pp"
"Dose of Dawnglow","B","U","106849","5.75","14016","8.32","33291","38.1%","51.3%","5500","47.1%","8301","53.5%","13801","50.9%","19521","51.7%","-0.7pp"
"Dream Seizer","B","C","306308","6.82","37702","9.90","64067","27.1%","50.4%","10869","48.9%","16258","52.9%","27127","51.3%","36937","49.8%","1.5pp"
"Gloom Ripper","B","R","13568","2.37","6011","2.52","46684","83.7%","59.4%","7867","64.6%","11865","67.3%","19732","66.2%","25349","53.2%","13.0pp"
"Gnarlbark Elm","B","U","72612","4.07","14728","5.13","68724","74.1%","52.6%","12016","51.7%","17427","55.6%","29443","54.0%","39416","51.6%","2.4pp"
"Graveshifter","B","U","59343","3.37","17259","4.02","97036","87.4%","53.9%","16293","50.9%","23985","56.2%","40278","54.0%","54518","53.3%","0.7pp"
"Grub, Storied Matriarch","B","R","20273","3.18","5527","3.69","29748","69.0%","54.4%","5193","54.0%","7242","60.5%","12435","57.8%","16417","51.0%","6.9pp"
"Gutsplitter Gang","B","U","96505","5.42","13870","7.41","45622","52.9%","51.7%","7753","51.4%","11398","52.2%","19151","51.9%","25801","51.2%","0.6pp"
"Heirloom Auntie","B","C","299640","6.84","34409","9.95","73084","34.2%","50.1%","12694","47.1%","17499","49.6%","30193","48.5%","41849","50.9%","-2.4pp"
"Iron-Shield Elf","B","U","71863","4.02","18861","4.80","102456","82.1%","56.5%","18555","59.2%","23579","56.6%","42134","57.8%","59135","55.3%","2.4pp"
"Moonglove Extractor","B","C","294307","6.45","36766","9.34","95622","41.2%","53.1%","16969","51.9%","21629","52.2%","38598","52.1%","56086","53.6%","-1.5pp"
"Moonshadow","B","M","6570","2.03","2835","2.16","19554","82.5%","54.2%","3413","60.5%","4878","54.8%","8291","57.1%","11245","52.2%","5.0pp"
"Mornsong Aria","B","R","50812","5.96","6212","9.19","1091","2.8%","49.5%","184","","256","","440","","652","51.1%",""
