"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Mage Tower Referee","","C","356893","7.40","47544","10.59","85070","28.1%","54.1%","15646","53.5%","21225","54.0%","36871","53.8%","47864","54.3%","-0.5pp"
"Page, Loose Leaf","","C","362396","8.02","45473","11.40","45242","15.7%","52.2%","8316","51.8%","12638","53.3%","20954","52.7%","23908","51.7%","1.1pp"
"Potioner's Trove","","C","250421","4.61","64684","5.56","324908","79.5%","54.4%","61262","56.1%","93701","58.2%","154963","57.4%","163718","51.3%","6.1pp"
"Strixhaven Skycoach","","U","94061","3.86","31411","4.50","174523","85.8%","56.6%","32489","58.0%","47434","59.5%","79923","58.9%","93404","54.6%","4.3pp"
"Deathcap Glade","","R","46253","3.71","8691","5.10","43356","78.2%","54.1%","8020","55.3%","11232","56.0%","19252","55.7%","23289","52.6%","3.1pp"
"Dreamroot Cascade","","R","45331","3.62","10053","4.79","50875","80.3%","53.9%","9486","55.0%","13957","57.6%","23443","56.6%","26162","51.3%","5.2pp"
"Fields of Strife","","C","359773","5.49","72968","7.59","371626","79.5%","55.6%","68956","57.5%","101404","56.5%","170360","56.9%","198042","54.5%","2.5pp"
"Forum of Amity","","C","361990","5.49","62911","7.82","292339","72.5%","55.3%","54705","57.0%","72561","55.0%","127266","55.9%","162890","54.9%","1.0pp"
"Great Hall of the Biblioplex","","R","42377","3.62","11838","4.34","67334","89.1%","55.9%","12225","56.4%","19003","60.4%","31228","58.8%","34733","53.0%","5.9pp"
"Paradox Gardens","","C","345618","5.19","63980","7.24","326019","80.7%","54.1%","61142","55.6%","89776","56.6%","150918","56.2%","169551","52.0%","4.2pp"
"Petrified Hamlet","","R","74439","6.59","8898","10.00","743","1.3%","43.5%","107","","219","","326","","414","",""
"Shattered Sanctum","","R","47145","3.80","9535","5.16","46626","76.5%","55.5%","8502","57.5%","11842","57.1%","20344","57.2%","25865","54.0%","3.2pp"
"Skycoach Waypoint","","U","154064","7.46","16082","11.18","14011","13.9%","50.9%","2228","49.3%","3630","49.9%","5858","49.7%","8038","51.8%","-2.1pp"
"Spectacle Summit","","C","344456","5.15","70409","7.11","376527","84.3%","54.5%","70188","55.7%","107493","56.8%","177681","56.4%","192945","52.7%","3.7pp"
"Stormcarved Coast","","R","44911","3.60","11034","4.74","58950","84.3%","54.2%","11053","55.3%","16774","58.0%","27827","56.9%","29673","51.5%","5.4pp"
"Sundown Pass","","R","47304","3.76","11115","4.99","57275","81.1%","55.4%","10627","56.6%","15596","57.5%","26223","57.1%","30421","53.8%","3.3pp"
"Terramorphic Expanse","","C","266458","4.36","61597","5.96","372432","95.1%","54.9%","70702","56.6%","99134","56.0%","169836","56.3%","199138","53.7%","2.6pp"
"Titan's Grave","","C","352881","5.33","57296","7.60","284999","78.7%","54.2%","53433","55.7%","73338","55.1%","126771","55.3%","154493","53.1%","2.2pp"
"Akroma's Will","W","M","2353","2.06","1353","2.05","8008","89.7%","57.6%","1279","56.1%","2156","62.5%","3435","60.1%","4482","55.4%","4.8pp"
"Angel's Grace","W","R","14567","5.91","1586","9.39","493","4.8%","","76","","128","","204","","286","",""
"Armageddon","W","M","4572","3.82","949","4.75","3067","51.6%","53.2%","493","","761","53.1%","1254","51.5%","1797","54.5%","-3.0pp"
"Duty Beyond Death","W","U","137490","6.76","15260","10.20","15604","16.1%","52.0%","2551","48.9%","3867","51.9%","6418","50.7%","9139","52.8%","-2.1pp"
"Helping Hand","W","U","124182","5.66","16313","8.25","47437","45.9%","54.1%","7937","51.3%","12220","54.3%","20157","53.1%","27159","54.9%","-1.8pp"
"Hop to It","W","U","119063","5.32","20328","7.13","81036","62.0%","55.7%","14375","55.4%","20891","55.5%","35266","55.5%","45515","55.8%","-0.4pp"
"Prismatic Ending","W","R","10953","4.27","2470","5.44","9476","61.0%","54.1%","1652","54.9%","2786","57.8%","4438","56.7%","4869","51.4%","5.3pp"
"Repel Calamity","W","U","78888","3.41","24846","3.98","146972","90.7%","57.2%","25101","57.0%","39702","60.2%","64803","58.9%","80887","55.7%","3.3pp"
"Reprieve","W","R","9172","3.53","2807","4.00","14831","81.3%","57.1%","2636","57.8%","3961","59.4%","6597","58.8%","8109","55.6%","3.2pp"
"Requisition Raid","W","U","132470","6.33","14354","9.64","20614","22.6%","51.8%","3426","49.7%","5130","51.2%","8556","50.6%","11993","52.6%","-2.0pp"
"Return to the Ranks","W","R","12968","5.24","1597","7.77","2316","22.6%","51.4%","405","","597","53.4%","1002","49.5%","1308","52.8%","-3.3pp"
"Winds of Abandon","W","M","2437","2.14","1402","2.16","8380","92.4%","57.8%","1395","56.1%","2371","64.8%","3766","61.6%","4505","54.2%","7.4pp"
