"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Venser, Shaper Savant","U","R","4769","2.88","1732","3.19","9448","87.4%","56.0%","1539","55.0%","2762","59.4%","4301","57.8%","5030","54.1%","3.7pp"
"Bolas's Citadel","B","R","7279","4.36","1240","5.76","3698","48.2%","55.1%","629","52.9%","980","59.2%","1609","56.7%","2020","53.8%","2.9pp"
"Dark Ritual","B","R","6764","4.14","849","6.01","2292","45.8%","51.4%","412","","576","50.9%","988","51.8%","1285","50.8%","1.0pp"
"Fatal Push","B","U","34728","2.65","13025","3.01","73337","90.8%","56.1%","12880","57.9%","19069","59.5%","31949","58.8%","40308","54.0%","4.9pp"
"Syr Konrad, the Grim","B","U","37758","2.93","10510","3.46","55776","87.9%","53.6%","9269","51.3%","14602","56.8%","23871","54.6%","31230","52.6%","2.0pp"
"Yawgmoth, Thran Physician","B","M","3230","2.04","1860","2.01","10714","91.1%","57.2%","1911","62.7%","2801","62.5%","4712","62.6%","5850","52.8%","9.8pp"
"Ancient Copper Dragon","R","M","3981","2.46","1033","2.73","4856","77.4%","52.7%","827","49.1%","1262","53.6%","2089","51.8%","2755","53.2%","-1.4pp"
"Godo, Bandit Warlord","R","R","5996","3.65","1303","4.28","4618","58.4%","54.5%","757","53.8%","1151","56.6%","1908","55.5%","2712","53.9%","1.6pp"
"Purphoros, God of the Forge","R","M","4768","2.96","919","3.25","3028","55.4%","51.7%","526","43.9%","721","53.8%","1247","49.6%","1764","53.0%","-3.4pp"
"Azusa, Lost but Seeking","G","R","7979","4.92","809","7.94","1068","22.0%","47.6%","176","","272","","448","","616","49.5%",""
"Nyxbloom Ancient","G","M","8349","4.71","877","7.19","1032","19.8%","49.5%","175","","254","","429","","599","50.8%",""
"Jodah, the Unifier","WUBRG","R","8664","5.20","1332","7.23","2224","28.3%","49.9%","375","","596","57.6%","971","56.0%","1234","44.5%","11.5pp"
