"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Dragonologist","U","R","27546","2.49","13270","2.60","73245","90.2%","55.6%","13006","56.7%","20632","60.9%","33638","59.3%","38411","52.2%","7.1pp"
"Dragonstorm Forecaster","U","U","141687","5.98","30522","7.44","76999","41.8%","53.5%","13670","57.8%","20649","55.2%","34319","56.2%","41897","51.3%","4.9pp"
"Essence Anchor","U","U","160341","7.09","22356","10.09","31335","23.4%","51.3%","5510","49.5%","8426","54.7%","13936","52.7%","17000","50.1%","2.6pp"
"Focus the Mind","U","C","387017","6.17","66932","8.64","259714","64.3%","53.6%","43394","51.9%","73004","57.3%","116398","55.3%","140415","52.1%","3.1pp"
"Fresh Start","U","U","109442","4.02","30699","5.04","167880","90.1%","55.1%","29288","53.9%","47733","59.1%","77021","57.1%","88199","53.2%","3.9pp"
"Highspire Bell-Ringer","U","C","418086","7.87","46719","11.60","48397","17.3%","50.4%","8210","49.0%","13393","53.1%","21603","51.5%","26454","49.4%","2.1pp"
"Humbling Elder","U","C","426070","8.18","58898","11.49","78353","21.9%","53.5%","13774","53.0%","21665","55.7%","35439","54.6%","42179","52.4%","2.3pp"
"Iceridge Serpent","U","C","417058","7.34","65966","10.28","170186","42.6%","54.2%","28281","52.0%","48649","57.5%","76930","55.4%","90792","52.9%","2.5pp"
"Kishla Trawlers","U","U","110580","4.09","29965","5.16","157941","86.4%","55.1%","26776","52.3%","44679","59.6%","71455","56.9%","83939","53.4%","3.5pp"
"Marang River Regent","U","R","14885","1.41","12034","1.41","74753","96.1%","59.2%","12723","63.6%","23011","69.9%","35734","67.7%","38402","51.2%","16.5pp"
"Naga Fleshcrafter","U","R","22195","2.07","11172","2.15","63628","93.7%","54.6%","10693","52.1%","17537","58.8%","28230","56.3%","34733","53.0%","3.3pp"
"Ringing Strike Mastery","U","C","416867","7.80","44275","11.62","46750","17.7%","51.0%","8007","49.9%","12718","52.8%","20725","51.7%","25609","50.3%","1.3pp"
"Riverwalk Technique","U","C","403927","6.70","76021","9.17","290432","63.0%","54.8%","48429","52.2%","84545","58.8%","132974","56.4%","153340","53.2%","3.2pp"
"Roiling Dragonstorm","U","U","87996","3.40","31399","3.85","166788","86.9%","55.5%","29936","57.4%","46069","59.6%","76005","58.8%","88121","52.5%","6.3pp"
"Sibsig Appraiser","U","C","260591","3.92","91020","4.70","522464","93.0%","56.1%","92798","57.7%","145548","59.9%","238346","59.1%","275701","53.5%","5.6pp"
"Snowmelt Stag","U","C","429246","8.50","56073","11.93","54800","16.2%","52.6%","9270","50.8%","15564","55.2%","24834","53.6%","29450","51.5%","2.0pp"
"Spectral Denial","U","U","143653","5.55","30080","7.35","126146","69.2%","55.0%","21770","55.1%","35942","58.4%","57712","57.2%","66776","53.0%","4.2pp"
"Stillness in Motion","U","R","77899","6.98","10571","10.37","1237","1.9%","46.1%","197","","377","","574","45.1%","655","46.3%","-1.1pp"
"Taigam, Master Opportunist","U","M","11016","2.06","4813","2.12","26122","90.5%","53.1%","4662","54.8%","7219","55.5%","11881","55.2%","13857","51.2%","4.0pp"
"Temur Devotee","U","C","397058","6.66","60500","9.47","219712","60.3%","53.8%","39399","53.6%","59237","55.2%","98636","54.6%","119490","53.2%","1.4pp"
"Unending Whisper","U","C","390966","6.31","68197","8.82","263249","63.5%","54.8%","46606","54.8%","72565","57.6%","119171","56.5%","142186","53.3%","3.2pp"
"Ureni's Rebuff","U","U","125571","4.62","27624","6.15","135865","80.9%","54.9%","23504","53.0%","37810","58.5%","61314","56.4%","73123","53.5%","3.0pp"
"Veteran Ice Climber","U","U","137941","5.35","21718","7.59","79070","60.8%","52.6%","14174","52.6%","20821","54.7%","34995","53.8%","43333","51.6%","2.2pp"
"Wingblade Disciple","U","U","87577","3.36","29695","3.94","159874","88.6%","55.0%","27819","55.1%","45369","59.1%","73188","57.6%","84029","52.5%","5.0pp"
"Wingspan Stride","U","C","429465","8.92","46575","12.81","11479","4.1%","48.1%","1935","45.8%","2922","51.0%","4857","48.9%","6556","47.5%","1.4pp"
"Winternight Stories","U","R","26582","2.42","13906","2.49","80001","92.8%","56.5%","13925","59.1%","21589","61.3%","35514","60.5%","43603","53.0%","7.5pp"
"Abzan Devotee","B","C","381475","6.05","43661","9.00","163682","62.1%","53.2%","29916","53.1%","36706","52.3%","66622","52.6%","96924","53.6%","-1.0pp"
"Adorned Crocodile","B","C","423812","8.00","44597","11.73","47995","17.8%","52.9%","7832","50.0%","11189","53.6%","19021","52.1%","28910","53.4%","-1.3pp"
"Aggressive Negotiations","B","C","418625","7.76","54775","10.86","105865","31.8%","54.2%","17716","54.0%","25003","55.6%","42719","54.9%","62549","53.6%","1.4pp"
"Alchemist's Assistant","B","U","119715","4.32","16474","6.16","79155","79.6%","53.8%","14332","54.6%","17866","53.7%","32198","54.1%","46841","53.5%","0.6pp"
"Alesha's Legacy","B","C","421461","7.87","39726","11.79","36545","15.3%","51.1%","5963","47.7%","8326","52.1%","14289","50.3%","22210","51.6%","-1.3pp"
"Avenger of the Fallen","B","R","21890","2.02","7813","2.13","42366","90.1%","53.6%","7306","54.0%","10048","55.7%","17354","55.0%","24890","52.6%","2.4pp"
"Caustic Exhale","B","C","229932","3.35","60910","4.24","337034","90.5%","55.1%","58372","55.6%","84332","58.3%","142704","57.2%","190879","53.4%","3.8pp"
"Corroding Dragonstorm","B","U","142381","5.72","15648","8.68","34070","36.9%","49.9%","6156","45.3%","8829","52.7%","14985","49.6%","18833","49.9%","-0.3pp"
"Cruel Truths","B","C","428971","8.33","45615","12.09","31755","11.5%","51.2%","5389","46.4%","7705","51.8%","13094","49.6%","18570","52.2%","-2.6pp"
"Delta Bloodflies","B","C","417181","7.77","39646","11.47","59858","25.1%","52.7%","10760","51.5%","13049","51.1%","23809","51.2%","35983","53.7%","-2.5pp"
"Desperate Measures","B","U","152672","6.04","16523","9.12","38022","38.1%","53.0%","6284","51.8%","8685","53.1%","14969","52.5%","23013","53.3%","-0.8pp"
"Dragon's Prey","B","C","229125","3.33","51108","4.36","285378","92.2%","54.2%","48534","53.0%","72065","56.8%","120599","55.3%","161959","53.2%","2.1pp"
"Feral Deathgorger","B","C","354260","5.28","39670","8.12","161082","68.2%","52.3%","27321","50.2%","46701","55.6%","74022","53.6%","91363","51.4%","2.2pp"
"Gurmag Rakshasa","B","U","142483","5.64","17818","8.15","52882","48.8%","54.3%","8692","51.8%","12830","57.1%","21522","54.9%","31154","53.8%","1.2pp"
"Hundred-Battle Veteran","B","U","149765","6.04","17294","8.93","43534","42.1%","51.8%","7165","47.8%","9977","50.8%","17142","49.5%","26311","53.2%","-3.7pp"
"Kin-Tree Nurturer","B","C","402137","6.68","43687","9.92","125017","47.2%","54.0%","21947","54.3%","28460","54.2%","50407","54.2%","74360","53.8%","0.4pp"
"Krumar Initiate","B","U","132723","5.10","17492","7.24","69277","66.1%","52.9%","12474","53.2%","15529","51.9%","28003","52.5%","41107","53.2%","-0.8pp"
"Nightblade Brigade","B","C","380858","6.14","39021","9.30","123477","52.5%","52.9%","21769","52.2%","27888","52.8%","49657","52.5%","73686","53.1%","-0.6pp"
"Qarsi Revenant","B","R","16318","1.52","10023","1.51","57163","91.3%","56.8%","10019","60.8%","14149","61.3%","24168","61.1%","32744","53.5%","7.6pp"
"Rot-Curse Rakshasa","B","M","12543","2.34","3441","2.50","16631","80.4%","53.0%","2959","50.3%","3735","53.7%","6694","52.2%","9923","53.6%","-1.4pp"
"Salt Road Skirmish","B","U","96716","3.56","17854","4.78","92233","85.4%","53.8%","15376","52.1%","22160","56.7%","37536","54.8%","54186","53.0%","1.7pp"
"Sandskitter Outrider","B","C","419121","7.69","42186","11.39","51991","20.4%","52.6%","8676","51.4%","11715","52.3%","20391","51.9%","31564","53.1%","-1.1pp"
"Scavenger Regent","B","R","14726","1.39","10453","1.39","60911","94.7%","55.7%","10381","57.2%","18157","61.8%","28538","60.1%","33384","52.7%","7.5pp"
"The Sibsig Ceremony","B","R","75035","6.69","9254","10.21","201","0.4%","","33","","42","","75","","126","",""
"Sidisi, Regent of the Mire","B","R","48790","4.19","6768","5.90","21613","53.5%","52.4%","3791","51.4%","5216","52.2%","9007","51.8%","12499","52.8%","-1.0pp"
"Sinkhole Surveyor","B","R","17901","1.67","10025","1.69","56829","91.2%","56.3%","10488","64.7%","13543","56.8%","24031","60.2%","32553","53.6%","6.7pp"
"Strategic Betrayal","B","U","129581","4.88","15362","7.31","56180","60.6%","53.6%","9934","53.2%","13551","56.4%","23485","55.0%","32315","52.5%","2.5pp"
"Unburied Earthcarver","B","C","418806","7.73","42203","11.37","67475","26.5%","52.2%","12275","51.1%","14731","49.9%","27006","50.5%","40445","53.4%","-3.0pp"
"Unrooted Ancestor","B","U","157011","6.47","15932","9.76","26000","27.3%","51.1%","4523","48.9%","5841","49.0%","10364","49.0%","15626","52.5%","-3.5pp"
"Venerated Stormsinger","B","U","101238","3.85","16676","5.10","79110","77.9%","54.6%","13353","54.3%","18070","55.5%","31423","55.0%","47740","54.2%","0.8pp"
"Wail of War","B","U","149507","5.84","19106","8.67","53008","45.7%","54.0%","8777","51.5%","13226","57.7%","22003","55.2%","30613","53.0%","2.2pp"
